gene_id,gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
DDX43,DDX43,22.53603730725819,-0.4349277932591944,0.4273778342965294,0.05101671920181597,0.14180637330843393
C17orf97,C17orf97,63.145374888274915,-0.36463427204952614,0.249890299407933,0.05104108984260933,0.14183180073742882
TM6SF2,TM6SF2,50.76166212041925,0.3769626477609292,0.26902435582411877,0.0510453910149367,0.14183180073742882
ITGAE,ITGAE,189.55857391469578,0.27393504330276663,0.16218034646277427,0.051216914201098696,0.14228117522519368
FBXL6,FBXL6,155.3236613005703,0.28896900192991526,0.17418403051362255,0.051266801579899046,0.14237164401241667
TGFBRAP1,TGFBRAP1,695.8303669692999,0.17866502521669625,0.09634477999890619,0.051269078496315235,0.14237164401241667
TARBP2,TARBP2,315.4127694772876,0.24645461280304395,0.13989370143998103,0.05129789243673722,0.14242443707497707
YWHAB,YWHAB,5280.299813168908,0.1309794510322054,0.06912844768268689,0.0513107486784045,0.14243291317320195
LOC389906,LOC389906,51.91036961271543,-0.37089711187339663,0.2601715823898589,0.05133425909163076,0.14247095517522507
MIR17HG,MIR17HG,15.953643836876605,0.4356388089544602,0.4615301006354126,0.051390755327996286,0.14260051263568718
CHIC1,CHIC1,429.37313198531865,-0.20202668181196587,0.11093371742130621,0.0514783868266967,0.14281639912260383
SPPL2A,SPPL2A,873.373800116403,0.18716399500919403,0.10180714488866746,0.0515178659910578,0.14289863974495587
HCG4B,HCG4B,259.5110082629824,-0.3268633498621814,0.21168862486558063,0.051558808104703015,0.14298490608002104
MTRF1L,MTRF1L,534.6948277069416,0.2080338063180899,0.11498980460990516,0.05163760461853895,0.14317609876006726
PPIEL,PPIEL,115.39033625648875,-0.2920676070065271,0.17590953398992623,0.05166321693124488,0.14321978225416082
HLA-C,HLA-C,6910.6701142650345,-0.13316215163873824,0.0702141836164392,0.051740357042465795,0.1434062662094593
ZNF217,ZNF217,705.800167190817,0.20623180837147115,0.11357555857025226,0.051837592740603206,0.1436483663795964
C10orf107,C10orf107,35.50011837801618,-0.41587852412282766,0.3900792665958622,0.051854050153907504,0.14366657030627805
SAFB2,SAFB2,971.5624433388803,0.2090059520981494,0.11572113251228457,0.051897624434660165,0.14375988282386606
COBLL1,COBLL1,801.3862900446999,-0.20972294937198094,0.11503477824893037,0.051945934440857974,0.14380278662171112
FLJ20464,FLJ20464,24.602280503005066,-0.4239994925870451,0.3880826456336373,0.05195270335035871,0.14380278662171112
FMN2,FMN2,362.1292703866342,0.25909692463644957,0.15097661305118681,0.05192575377406984,0.14380278662171112
KIAA0753,KIAA0753,463.02594558160837,-0.2047162085628839,0.11183227506527883,0.05194426102334813,0.14380278662171112
SCN1A,SCN1A,36.15502705825234,0.38170379681067373,0.45485128025099414,0.051967943117403534,0.14381757058147732
DIRC3,DIRC3,20.91498927352319,-0.4275484401041373,0.4441989328404048,0.05200816604718456,0.14387407549496278
TFRC,TFRC,4346.239500302678,0.17556298545307997,0.09516620016001098,0.05200639767990439,0.14387407549496278
DPP8,DPP8,1290.3019930209557,0.16495251687147885,0.08674434457184085,0.05202654552806769,0.14389752141201131
TENM3,TENM3,154.89232034040057,-0.29109816089544793,0.17704612176822437,0.052210092645154096,0.1443777000459543
SETD3,SETD3,917.8888784178746,0.20331268742959274,0.11193863906529716,0.05223323291763177,0.1444142038173686
EML4,EML4,954.6130856156514,-0.21956516706097004,0.12056298564236054,0.05228370984074519,0.14446375054806818
HNRNPA1L2,HNRNPA1L2,161.52428145422414,-0.2774578045514739,0.16545569442551572,0.05227615068948272,0.14446375054806818
PTP4A1,PTP4A1,1678.9734633492585,0.1889315823639099,0.10276222286851702,0.05226450421802058,0.14446375054806818
SLC16A6,SLC16A6,49.62894999166252,0.4019406024361349,0.41946871946364167,0.052300869150171285,0.14446375054806818
ZNF37BP,ZNF37BP,676.353431951818,-0.19066738672893893,0.10409306738846096,0.052296158241691995,0.14446375054806818
NELFB,NELFB,1233.3814253970752,0.17590382802325982,0.09515703643266672,0.052312593784500504,0.14446867042292488
CCDC30,CCDC30,18.238947512485478,-0.4304347915838881,0.4309791305709566,0.05232971532684093,0.14446922379348295
ZNF664,ZNF664,1981.5626861370242,-0.1604617501262967,0.08651303831063555,0.05233268117730751,0.14446922379348295
PLIN4,PLIN4,52.88663916048547,-0.37981550928919444,0.27626988282552195,0.05235587264275015,0.1445057890627882
RAD17,RAD17,454.52390354841634,-0.1966099224508432,0.10768395704642013,0.05244185267193695,0.14471560825651889
CKS1B,CKS1B,192.05976682833554,-0.25174093023868427,0.1452940321876041,0.05253923386369832,0.14495680379902637
STEAP3,STEAP3,348.4777192978615,-0.33110211918988885,0.22194143425498836,0.052605664240242295,0.1451125300448985
C19orf48,C19orf48,254.68199529682292,-0.23268308763611423,0.13192497602179853,0.052622021666310324,0.14511825019309704
ZNF714,ZNF714,51.3582296565625,-0.3778177258710094,0.2762862210044221,0.052627714245125495,0.14511825019309704
GORASP2,GORASP2,2016.2205298842484,-0.1620064913386659,0.08723660454971006,0.05272088957534606,0.14534759101332123
KCNG2,KCNG2,11.70620857161008,0.33276601963195024,0.48984115078814977,0.052774953450718615,0.14545148158087748
RPS18P9,RPS18P9,62.456333346252094,0.3682276517151826,0.26279549542534797,0.0527785952849051,0.14545148158087748
PELP1,PELP1,790.3005993209317,-0.17257662436699636,0.09342491753115947,0.05287156109772838,0.1456800514297166
DTX4,DTX4,744.2406160473945,0.26212870126621163,0.15505633676679345,0.05290964095019023,0.14575733283377207
GALNT1,GALNT1,1718.394005043452,-0.15570235602725038,0.08221219945085055,0.05294778346721716,0.1458347575346347
ZNF416,ZNF416,98.9223398475017,-0.30851380007348234,0.19336385291685323,0.0530125173153808,0.14598537984745405
PAG1,PAG1,290.73361944372687,-0.32574751874828406,0.21728306996516336,0.05307015274917663,0.14611640123039366
C7orf55,C7orf55,62.2263576856944,0.37900220009639557,0.2824173698252686,0.053132402787822615,0.14626007580603917
