[2026-06-26 06:26:13,325] multiqc.report                                     [DEBUG  ]  Skipping search patterns: picard/basedistributionbycycle, picard/sam_file_validation, picard/variant_calling_metrics, rseqc/gene_body_coverage, rseqc/read_gc
[2026-06-26 06:26:13,425] multiqc.report                                     [DEBUG  ]  Summary of files that were skipped by the search: |skipped_no_match: 82|, |skipped_module_specific_max_filesize: 32|
[2026-06-26 06:26:13,426] multiqc.core.exec_modules                          [DEBUG  ]  Running module: custom_content
[2026-06-26 06:26:13,433] multiqc.core.special_case_modules.custom_content   [INFO   ]  nf-core-rnaseq-methods-description: Found 1 sample (html)
[2026-06-26 06:26:13,468] multiqc.plots.plot                                 [DEBUG  ]  merge_with_previous for salmon_deseq2_clustering-plot: found old_data = False
[2026-06-26 06:26:13,468] multiqc.plots.plot                                 [DEBUG  ]  merge_with_previous for salmon_deseq2_clustering-plot: no old data or empty, using new data only
[2026-06-26 06:26:13,546] multiqc.report                                     [DEBUG  ]  Wrote data file multiqc_salmon_deseq2_clustering.txt
[2026-06-26 06:26:13,547] multiqc.report                                     [DEBUG  ]  Wrote data file multiqc_salmon_deseq2_clustering.json
[2026-06-26 06:26:13,547] multiqc.core.special_case_modules.custom_content   [INFO   ]  salmon_deseq2_clustering: Found 8 samples (PlotType.HEATMAP)
[2026-06-26 06:26:13,548] multiqc.plots.plot                                 [DEBUG  ]  merge_with_previous for salmon_deseq2_pca-plot: found old_data = False
[2026-06-26 06:26:13,548] multiqc.plots.plot                                 [DEBUG  ]  merge_with_previous for salmon_deseq2_pca-plot: no old data or empty, using new data only
[2026-06-26 06:26:13,551] multiqc.report                                     [DEBUG  ]  Wrote data file multiqc_salmon_deseq2_pca.txt
[2026-06-26 06:26:13,552] multiqc.report                                     [DEBUG  ]  Wrote data file multiqc_salmon_deseq2_pca.json
[2026-06-26 06:26:13,552] multiqc.core.special_case_modules.custom_content   [INFO   ]  salmon_deseq2_pca: Found 8 samples (PlotType.SCATTER)
[2026-06-26 06:26:13,552] multiqc.core.special_case_modules.custom_content   [INFO   ]  nf-core-rnaseq-summary: Found 1 sample (html)
[2026-06-26 06:26:13,553] multiqc.core.exec_modules                          [DEBUG  ]  Running module: salmon
[2026-06-26 06:26:13,564] multiqc.modules.salmon.salmon                      [INFO   ]  Found 8 meta reports
[2026-06-26 06:26:13,564] multiqc.report                                     [DEBUG  ]  Wrote data file multiqc_salmon.txt
[2026-06-26 06:26:13,565] multiqc.report                                     [DEBUG  ]  Wrote data file multiqc_salmon.json
[2026-06-26 06:26:13,565] multiqc.modules.salmon.salmon                      [INFO   ]  Found 8 fragment length distributions
[2026-06-26 06:26:13,565] multiqc.modules.salmon.salmon                      [INFO   ]  Found 8 library format counts reports
