ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
GO:0097352,autophagosome maturation,55,0.5099697469353897,1.5432829653990314,0.01569495230806805,0.26327161428762147,0.23167412632191592,2793,"tags=35%, list=22%, signal=27%",440738/488/10241/84557/23710/27183/801/7251/81671/9525/11345/57724/5289/9474/8678/1201/29979/25851/5119,0.35248785758361917
GO:0048608,reproductive structure development,94,0.4734173999571538,1.5430798000629713,0.011594856596826122,0.2363659829165492,0.2079976708943177,1336,"tags=22%, list=10%, signal=20%",247/3625/3952/10370/3622/1588/283/3624/7026/836/3973/658/57647/6943/2316/5156/5781/3643/5310/4327/1051,0.3807304007227924
GO:0002291,T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell,7,-0.7998592931095959,-1.5422526607407854,0.021686362132599887,0.30219926271381414,0.2659297332672672,218,"tags=29%, list=2%, signal=28%",3965/80031,0.35248785758361917
GO:0007266,Rho protein signal transduction,111,0.46428322438060965,1.5416085623043203,0.0060591750669622465,0.1892203022241242,0.16651034832889697,2066,"tags=33%, list=16%, signal=28%",10630/171024/10602/388/9411/23189/64283/185/5364/5894/9475/57493/90627/11214/10979/6093/10928/83892/9423/2059/397/56990/27/1902/396/120892/50848/2768/139818/1072/9138/5879/23365/3675/1012/7126/8727,0.40701791892395395
GO:0044029,positive regulation of gene expression via chromosomal CpG island demethylation,8,-0.7588138563749922,-1.541208491082646,0.047142067257086105,0.44071827526489255,0.3878238892269987,1782,"tags=75%, list=14%, signal=65%",328/27350/54790/200424/200316/1958,0.3217759180753611
GO:0010457,centriole-centriole cohesion,13,-0.6834910217754169,-1.5408734705781006,0.03058161485087338,0.35234925902759806,0.3100607977288926,2519,"tags=46%, list=20%, signal=37%",54875/9662/11190/25914/11127/79839,0.35248785758361917
GO:0003158,endothelium development,84,0.4816393824337686,1.5402629177660414,0.015327939254853337,0.2628613452248919,0.23131309717366547,1641,"tags=35%, list=13%, signal=30%",9414/10630/6781/91663/10855/388/55273/51421/2246/11167/94/7414/9475/7026/654/84913/90627/1832/6093/4233/9223/50848/694/6935/80781/80274/11235/5144/5908,0.3807304007227924
GO:0061035,regulation of cartilage development,34,0.556486299678964,1.536318564419788,0.027137619621997452,0.3375528915270064,0.2970402693946356,1157,"tags=26%, list=9%, signal=24%",7704/3952/91461/94/11173/654/658/5781/5744,0.35248785758361917
GO:0015980,energy derivation by oxidation of organic compounds,291,0.4090971880203832,1.5359576533368386,9.355661182626455e-4,0.12233279744702706,0.10765058757186517,2025,"tags=21%, list=16%, signal=18%",3952/5166/8660/8013/10580/51422/56910/25994/9945/5500/55062/5562/7360/5255/5339/3939/5167/55526/84883/3667/23596/2475/3795/5165/55022/5834/28964/3091/3418/26330/2027/59341/5663/51763/3643/5224/7384/8987/23710/1737/5509/178/2632/5209/9650/3481/65018/3099/5499/26100/2271/2887/34/79660/54949/5256/2108/3419/55276/1346/10105,0.47727081536286214
GO:1904491,protein localization to ciliary transition zone,21,-0.6112553142592885,-1.535897947843335,0.04300660433049011,0.4228402023129245,0.372091517384808,3019,"tags=67%, list=24%, signal=51%",387707/23322/79600/80184/51259/55812/54903/200728/79583/4867/57545/26123/54806/27077,0.3217759180753611
