category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Cancer: overview,hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,34/1750,70/5535,0.4857142857142857,1.5362448979591834,3.0698896868623926,0.0021450007327508116,0.009638574721191959,0.009638574721191959,3091/3265/8503/5296/5290/5295/3717/4893/4792/5595/4215/116071/6772/5293/1147/29126/5606/207/5604/5894/5603/3716/148022/6774/5600/2475/5728/3725/3459/5291/55509/1432/5781/5970,34
Human Diseases,Infectious disease: bacterial,hsa05135,Yersinia infection,50/1750,112/5535,0.44642857142857145,1.4119897959183674,2.994893123020745,0.0023727475434467057,0.01048717346114476,0.01048717346114476,2212/5602/71/8503/5296/2776/5290/5295/10092/3569/3984/23365/5879/9844/4792/9138/6093/5881/2185/5595/64283/10163/8976/10096/5293/1147/3688/5606/207/5604/5603/6196/382/834/148022/60/6347/3676/5600/3725/10093/10097/5291/10094/1432/9815/8394/1398/9475/5970,50
Organismal Systems,Endocrine system,hsa04915,Estrogen signaling pathway,42/1750,91/5535,0.46153846153846156,1.4597802197802199,3.0068902804887307,0.0024092538700339478,0.01048717346114476,0.01048717346114476,6655/3265/8503/5296/3312/2776/196883/5290/5295/4893/3310/3326/23236/1385/801/5595/114/4313/5293/468/5332/3320/207/5604/5894/8202/53358/64764/109/2099/3725/5567/3708/5291/596/90993/3709/2289/2852/107/2770/9586,42
Environmental Information Processing,Signal transduction,hsa04370,VEGF signaling pathway,25/1750,48/5535,0.5208333333333334,1.6473214285714286,3.0625189334000136,0.002455089740903831,0.01048717346114476,0.01048717346114476,5321/5743/3265/8503/5296/5290/5295/4893/5879/5881/5595/5293/207/5604/5894/3315/5336/5603/8605/5600/9261/5291/1432/7422/8877,25
Organismal Systems,Immune system,hsa04664,Fc epsilon RI signaling pathway,25/1750,48/5535,0.5208333333333334,1.6473214285714286,3.0625189334000136,0.002455089740903831,0.01048717346114476,0.01048717346114476,5321/6655/5602/3265/8503/5296/5290/5295/4893/5879/5881/5595/9846/5293/5606/207/5604/5894/5336/5603/8605/5600/3635/5291/1432,25
Human Diseases,Cancer: overview,hsa05207,Chemical carcinogenesis - receptor activation,57/1750,131/5535,0.4351145038167939,1.3762050163576882,2.96284013933818,0.002517957052695852,0.010615191324656001,0.010615191324656,9446/6655/5465/2949/3265/8503/5296/196883/5290/182/5295/3717/4893/3326/775/1385/2947/5595/2946/114/9314/604/6777/408/5293/468/688/3320/207/5604/5894/5925/3837/6196/64764/28514/109/6774/2255/896/2099/2475/3725/5567/4609/5291/596/7422/90993/107/2770/2941/9586/54567/6776/3839/5970,57
Human Diseases,Cancer: specific types,hsa05224,Breast cancer,48/1750,107/5535,0.4485981308411215,1.4188518024032044,2.9746646866550766,0.002546418728168925,0.010615191324656001,0.010615191324656,6655/3265/8322/8503/5296/5290/8325/182/5295/4893/1021/1643/1026/7474/4040/5595/5293/207/4616/5604/5894/83439/8323/4854/8202/5925/53358/8324/672/1856/28514/3714/2255/2099/2475/7157/5728/3725/2246/4609/8313/5291/4851/1019/3480/7472/7855/54567,48
Organismal Systems,Digestive system,hsa04978,Mineral absorption,19/1750,34/5535,0.5588235294117647,1.7674789915966387,3.0520440124055703,0.002837458315824849,0.01168762591994521,0.011687625919945212,26872/4502/6546/477/2512/4493/65010/55503/4499/9843/261729/4501/538/476/3162/1317/490/4891/481,19
Human Diseases,Infectious disease: parasitic,hsa05144,Malaria,15/1750,25/5535,0.6,1.897714285714286,3.05870787402392,0.0031111942043508273,0.01266439052594572,0.01266439052594572,6383/4233/3569/958/6382/7057/2995/7058/3082/3039/7059/6347/7412/7042/3592,15
Organismal Systems,Development and regeneration,hsa04380,Osteoclast differentiation,43/1750,95/5535,0.45263157894736844,1.431609022556391,2.885084432775906,0.003397542647238885,0.013669183208658769,0.013669183208658769,2212/5602/8651/8503/5296/3690/1435/5290/5295/5879/4792/1385/8878/5595/7048/3727/54/6772/29760/4982/9846/9020/5293/814/1147/207/5604/5336/5603/3716/488/169200/5600/5468/3725/3459/3708/5291/1432/3709/7042/2274/5970,43
