gene_id	gene_name	SRX384345	SRX384346	SRX384349	SRX384350	SRX384353	SRX384354	SRX384357	SRX384358
FER1L6	FER1L6	330	28	196.015	29	527.158	70	829	82
FER1L6-AS1	FER1L6-AS1	0	0	0	0	0	0	1	0
FER1L6-AS2	FER1L6-AS2	0	0	0	0	0	1	0	0
FERD3L	FERD3L	0	0	0	0	0	0	0	0
FERMT1	FERMT1	85.007	46	63	19	75	73	36	42
FERMT2	FERMT2	2977.202	4601.819	3473.425	2681.61	3464.185	6901.599	2575.847	3728.524
FERMT3	FERMT3	21	21	24	9	3	14	32.012	20
FES	FES	311.007	213	166	85.014	247.001	248.999	322.02	282.001
FETUB	FETUB	1	0	0	0	0	0	0	0
FEV	FEV	0	0	0	0	0	0	0	1
FEZ1	FEZ1	1830.008	1438.999	1854.976	952.364	1742.768	1586.196	1539.057	1356.488
FEZ2	FEZ2	1122.999	1054.999	1358.014	907	1617.164	1792.001	1096.13	1129
FEZF1	FEZF1	0	1	0	1	0	0	0	0
FEZF1-AS1	FEZF1-AS1	0	0	2	1	0	0	1	0
FEZF2	FEZF2	0	0	0	0	0	0	0	0
FFAR1	FFAR1	0	0	0	0	0	0	0	0
FFAR2	FFAR2	0	0	0	0	0	0	0	0
FFAR3	FFAR3	0	0	0	0	0	0	0	0
FFAR4	FFAR4	0	1	0	3.625	0	0	0	0
FGA	FGA	0	0	0	0	0	0	0	0
FGB	FGB	0	0	0	0	0	0	0	0
FGD1	FGD1	539.101	413.287	575	261	751	606	548.985	464.225
FGD2	FGD2	0	0	0	0	0	0	0	0
FGD3	FGD3	0	0	2	0	0	0	0	0
FGD4	FGD4	374.026	1461.625	455	1298.565	490	2344.651	472.128	2645.617
FGD5	FGD5	27	28	50	13	3	3	45	36
FGD5-AS1	FGD5-AS1	3740.86	3637.042	4123.058	3029.508	3370.758	4614.626	3129.17	4142.01
FGD5P1	FGD5P1	1	0	0	0	0	0	1	0
FGD6	FGD6	177	102	330.074	207	310	326	211	298
FGF1	FGF1	58	108	242.001	209	116	541	109	147
FGF10	FGF10	185.883	57.854	34	7	138.92	57.991	57.983	18.973
FGF10-AS1	FGF10-AS1	4.117	2.147	1	0	4.08	1.009	1.017	1.027
FGF11	FGF11	344	301	372	166	229	405	274.3	217
FGF12	FGF12	0	1	0	1	1	2	1	0
FGF13	FGF13	382	69	471.999	119	110.999	43	627.182	256.001
FGF13-AS1	FGF13-AS1	4	2	3	5	0	0	1	14.013
FGF14	FGF14	99	174	137.167	124	126	285.093	70	174.202
FGF14-AS1	FGF14-AS1	1	0	1	0	0	0	0	0
