gene_id	gene_name	SRX384345	SRX384346	SRX384349	SRX384350	SRX384353	SRX384354	SRX384357	SRX384358
USP20	USP20	575.276537876433	434.057086211771	616.272315602535	295.620449960852	619.249781083166	642.442643677709	535.283425096054	504.459138036427
USP21	USP21	424.085141086313	283.51437912441	431.485860955017	197.282513179554	382.625157696972	311.497570777821	304.909994583954	308.578431787541
USP22	USP22	6122.44472539577	4360.07499618476	6071.04559584942	3017.38082420942	6687.60153842056	6292.24312855491	5293.94608613728	4181.26814603909
USP24	USP24	2601.39630300736	1979.94339031973	2331.20002774777	1409.85233177642	2815.26841845574	2959.81168461728	3419.01435706783	2551.29633194394
USP25	USP25	1502.68333053956	1187.78998808654	2000.90374993497	1148.32105493051	2031.65413707832	2149.8639668496	1492.69008936022	1486.93414944609
USP26	USP26	0	0	0	0	0	0	0	0
USP27X	USP27X	44.053981105687	58.0622588622916	68.8769410054559	31.0049557721025	83.7602868891006	84.8832438635924	60.0556268818995	62.0302089653539
USP27X-AS1	USP27X-AS1	25.0274484262691	14.0162510928453	19.9729734465723	9.99973450267085	22.945217073065	29.9556009181382	17.0107220729134	13.0028199094746
USP28	USP28	531.412064492468	472.117243379183	505.791462125166	326.343903934984	708.743495215514	896.336085099394	459.8636993461	427.732842180237
USP29	USP29	0	2.00124321695863	0	0	0	0	0	0
USP3	USP3	454.209262028496	328.922375836783	533.459920787452	244.358903278032	674.568627572855	427.017696114185	405.957882806027	331.123372960549
USP3-AS1	USP3-AS1	3.65119626095266	6.23699759560808	10.2435934270887	4.68121370839622	4.59370185788874	6.0324269541965	11.0905463723421	4.00069941341257
USP30	USP30	407.600763087313	238.059147124523	382.751394264931	199.240527365972	480.306799756075	390.225898661509	352.685367112083	294.227076390125
USP30-AS1	USP30-AS1	3.05689609826675	0	3.0800502961627	1.01159617352461	1.01366265813508	0	3.02534987455819	0.997484983963689
USP31	USP31	247.964401642249	346.396899105635	284.264320357853	256.196145951469	254.486438737278	412.668556536955	219.991237557546	316.565266263145
USP32	USP32	1659.68182989154	1462.35981889324	1737.74991804531	1348.34360954732	1954.35523873655	2590.69179198469	1474.64951643271	1825.5329476662
USP32P1	USP32P1	11.711033492108	21.6889731919831	611.847074272626	400.447319376157	954.619628462394	1042.2012625355	675.626075561022	688.571820948006
USP32P2	USP32P2	302.948063962733	254.496983592495	136.027118239943	103.32505445759	16.6297212904792	16.2438039083601	8.12555683103145	6.70429987904735
USP33	USP33	1857.38759073926	3189.62903997855	2203.77558117691	2336.92452456131	2310.29948857524	4059.30493273421	1643.04694537958	3499.82414554685
USP34	USP34	3274.06547529715	2697.99104828547	3991.24250468284	2220.29333920648	4472.20565037981	5425.70297425347	3683.93895018883	3780.97631633855
USP35	USP35	547.765172126722	418.438180839132	535.462818333444	279.71426749154	560.657698296458	518.797850953727	449.190234847649	403.862860618593
USP36	USP36	873.215981621763	872.648974072807	771.930525214722	517.299101851944	839.1724028569	1161.42350234078	735.134588056997	829.681780020447
USP37	USP37	200.809723867717	149.626327618633	198.739621346051	101.604474861559	229.433993772632	300.031070496969	181.862629197048	153.659682162817
USP38	USP38	519.809509602796	447.378927883505	564.359387871466	383.256495401988	512.903530316706	680.252402618927	461.781341618521	531.630398759032
USP39	USP39	911.306487760594	909.0108892106	997.30542822317	805.887967238798	1011.11558366102	1317.46123521262	825.412098269595	1116.92487921968
USP4	USP4	1288.16284885616	1063.0779964561	1560.55160028507	1147.63681070677	1679.58306540421	2425.16041362851	1157.71858578763	1314.02985347061
USP40	USP40	1275.13966362896	932.578736123709	1305.80828492101	604.95012046662	1205.00757803047	1136.71420902202	1129.15349146863	953.542645043207
USP41	USP41	2.61563656794151	0	0	0	0	0	0	0
USP42	USP42	231.518215418854	158.335700337593	260.79257903895	131.947475036503	308.170140201161	340.990197848314	214.727711171803	258.824957157807
USP43	USP43	6.01448671561692	9.98098632938358	1.99664468284167	6.98394674821069	5.98314345675514	14.9964792819384	2.00486640969808	7.01357317470215
USP44	USP44	197.918855707301	215.772552806626	202.927155535972	184.237974255059	165.069309610704	342.585690325041	195.768212951564	262.005584324654
USP45	USP45	265.058759938621	221.637306538785	200.020479917922	138.391593328764	281.549137476857	348.831075179302	200.596766764931	205.043721351852
USP46	USP46	475.659240546233	626.354811540583	563.106531804355	527.836010436733	609.73534337026	1295.57095290598	441.34505432348	786.166813248029
USP46-AS1	USP46-AS1	20.9888515451666	31.1007870987303	43.1759798756959	29.9295788942354	39.1387518356934	66.8118012103349	38.8803416586834	29.905695735004
USP47	USP47	2177.08438840589	2524.41672095893	2858.05520599272	1974.93015232294	2906.61507422646	5511.24096573669	2103.88996735435	3015.60969896625
USP48	USP48	1533.84092269713	1573.90524409055	1901.6850826594	1092.45912087782	2226.99140173521	2756.27981458089	1437.85055549495	1608.54097431632
USP49	USP49	322.523644609159	204.50402605763	298.126275018766	167.97209546272	321.111323849817	288.568236529589	296.211722856844	241.058363020984
USP5	USP5	1947.00284719385	1525.32662073194	2075.48198822275	1032.88098016603	1820.06315520481	1862.34364338373	1405.99966896375	1341.23642777405
USP50	USP50	1.02341084641724	1.0224666064757	0	0	0	0	1.01276983077319	1.02434330293079
USP51	USP51	85.3768205876691	38.0217852064284	73.9082979587036	24.2411337037887	77.6821965023567	47.8302011708914	77.0781008627853	38.1911276872274
USP53	USP53	1917.78712713864	7571.81457175123	4280.75851555823	12725.8188447308	1721.38872204808	5521.10774131201	4021.58675189203	20489.4641284477
USP54	USP54	294.030600880148	269.793928160344	352.106789329435	117.890527516552	392.299401953922	263.979977050827	259.589841261326	180.356196950793
USP6	USP6	9.75034611311871	9.26255454983143	14.1213683674517	5.88856688322505	13.5534218780336	10.5254596944502	9.15618037503039	9.15041189137071
USP6NL	USP6NL	323.534724971303	255.549417055228	354.865566377292	179.530259028988	427.923967510661	383.536772321243	310.693586994763	226.371143633286
USP6NL-IT1	USP6NL-IT1	36.0243470764643	13.0188110122703	35.002349147941	15.9897811840344	20.9825015099914	42.9213168754687	25.9911400705003	16.988629514749
